,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Srek1,7.74E-45,0.677437148,0.847,0.091,2.40E-40
BC005561,3.81E-43,0.735690771,0.86,0.102,1.18E-38
Stx16,2.06E-42,0.572458467,0.838,0.086,6.39E-38
Ttc14,8.33E-42,0.605385987,0.928,0.139,2.59E-37
Phf3,8.03E-40,0.378586919,0.847,0.102,2.49E-35
Ubn2,1.16E-39,0.555123706,0.906,0.139,3.59E-35
Ahcyl2,1.70E-39,0.478477545,0.711,0.032,5.29E-35
Gm26917,5.48E-38,0.371688858,0.864,0.128,1.70E-33
Strn3,7.68E-38,0.435180332,0.779,0.08,2.38E-33
Ankrd17,2.19E-37,0.406586334,0.915,0.171,6.80E-33
Rc3h2,4.06E-37,0.418365572,0.694,0.043,1.26E-32
Wdr26,4.88E-37,0.441940697,0.889,0.15,1.51E-32
Cabin1,5.45E-37,0.385540751,0.804,0.091,1.69E-32
Zfp644,7.74E-37,0.623966275,0.877,0.166,2.40E-32
Luc7l2,7.83E-37,0.738489637,0.983,0.337,2.43E-32
Tanc2,3.80E-36,0.356101571,0.791,0.096,1.18E-31
Chd7,6.00E-36,0.401227008,0.702,0.053,1.86E-31
Gatad2b,8.67E-36,0.326587778,0.774,0.086,2.69E-31
Zfp292,8.70E-36,0.438640178,0.847,0.128,2.70E-31
Pnisr,1.14E-35,0.654962658,0.906,0.203,3.53E-31
Ankrd11,1.56E-35,0.479780524,0.979,0.267,4.86E-31
Rnpc3,1.93E-35,0.504752601,0.74,0.086,5.99E-31
Ankrd12,2.11E-35,0.516936626,0.898,0.198,6.55E-31
Lman2l,2.22E-35,0.496417171,0.838,0.128,6.89E-31
Hjurp,2.91E-35,0.535122509,0.749,0.091,9.05E-31
Tmcc1,3.51E-35,0.348223214,0.677,0.037,1.09E-30
Ash1l,4.34E-35,0.372626681,0.843,0.139,1.35E-30
Usp7,1.25E-34,0.46921464,0.809,0.118,3.87E-30
Sec63,1.43E-34,0.555853568,0.728,0.075,4.45E-30
Zcchc7,1.45E-34,0.467989768,0.851,0.155,4.51E-30
Chd6,2.19E-34,0.395973701,0.843,0.134,6.81E-30
Arid1a,2.37E-34,0.396809065,0.902,0.187,7.35E-30
Rabgap1,3.59E-34,0.397329075,0.779,0.096,1.12E-29
Lpin2,3.80E-34,0.299088143,0.745,0.08,1.18E-29
Gapvd1,7.09E-34,0.485849167,0.868,0.16,2.20E-29
Pbrm1,1.82E-33,0.567816133,0.936,0.262,5.66E-29
Mysm1,2.18E-33,0.363585636,0.813,0.123,6.75E-29
Etnk1,2.59E-33,0.520441299,0.889,0.193,8.05E-29
Clock,2.91E-33,0.387380187,0.779,0.102,9.03E-29
Agbl3,3.15E-33,0.380178642,0.728,0.086,9.78E-29
Prpf38b,3.56E-33,0.384242498,0.83,0.15,1.10E-28
Zranb1,3.79E-33,0.466058924,0.898,0.198,1.18E-28
Rasal2,3.95E-33,0.259978452,0.753,0.091,1.23E-28
Pkn2,5.58E-33,0.565493338,0.889,0.203,1.73E-28
Cspp1,7.46E-33,0.393832485,0.83,0.139,2.32E-28
E130308A19Rik,9.98E-33,0.440496866,0.685,0.064,3.10E-28
Brd4,1.01E-32,0.445501304,0.877,0.176,3.13E-28
Zfp280d,1.30E-32,0.347619053,0.715,0.075,4.05E-28
Setd5,1.47E-32,0.26370275,0.885,0.176,4.56E-28
Zbtb20,1.55E-32,0.391523649,0.626,0.032,4.82E-28
Fam135a,1.90E-32,0.459946834,0.694,0.07,5.90E-28
Malat1,2.28E-32,1.142387852,1,0.84,7.08E-28
Baz2a,2.43E-32,0.32923909,0.843,0.15,7.53E-28
Kmt2c,2.54E-32,0.537697967,0.949,0.257,7.88E-28
Tra2a,2.98E-32,0.58041055,0.838,0.155,9.26E-28
Epb41,3.96E-32,0.252132635,0.711,0.075,1.23E-27
Pum2,4.68E-32,0.27293023,0.868,0.155,1.45E-27
Pura,6.65E-32,0.335835378,0.8,0.128,2.06E-27
Celf1,6.69E-32,0.350410347,0.847,0.155,2.08E-27
Zfp612,1.03E-31,0.395713568,0.719,0.08,3.19E-27
Ccnt1,1.25E-31,0.320203023,0.804,0.123,3.89E-27
Agl,1.34E-31,0.333662969,0.655,0.053,4.17E-27
Fus,1.42E-31,0.6456855,1,0.401,4.41E-27
7-Mar,2.15E-31,0.449609637,0.851,0.193,6.69E-27
Brd2,2.25E-31,0.726078395,0.979,0.428,7.00E-27
Arhgef12,2.31E-31,0.25824057,0.626,0.037,7.18E-27
Zfp609,3.90E-31,0.320804688,0.557,0.011,1.21E-26
Phf20l1,4.14E-31,0.352399506,0.872,0.166,1.29E-26
Cdk12,5.07E-31,0.574929121,0.991,0.385,1.57E-26
Zfp704,7.61E-31,0.297111727,0.681,0.07,2.36E-26
Nfrkb,7.89E-31,0.337561814,0.626,0.043,2.45E-26
Uhrf2,7.91E-31,0.324989484,0.706,0.08,2.46E-26
Tnrc6b,8.37E-31,0.403762253,0.723,0.091,2.60E-26
Abl2,9.51E-31,0.410947019,0.694,0.08,2.95E-26
Git2,1.01E-30,0.278095758,0.711,0.086,3.13E-26
Nktr,1.42E-30,0.617191812,0.962,0.31,4.42E-26
Aftph,1.91E-30,0.400843393,0.787,0.128,5.93E-26
Dennd1a,2.00E-30,0.291960892,0.63,0.048,6.23E-26
Ylpm1,2.17E-30,0.251663766,0.809,0.139,6.74E-26
Nisch,2.29E-30,0.327039558,0.804,0.144,7.12E-26
Kmt2b,2.73E-30,0.389907579,0.745,0.112,8.47E-26
Safb2,3.16E-30,0.385607222,0.796,0.134,9.81E-26
Spag9,3.46E-30,0.280161202,0.723,0.091,1.08E-25
Spen,3.91E-30,0.361057462,0.672,0.08,1.21E-25
Zdbf2,4.67E-30,0.463919537,0.749,0.123,1.45E-25
Noc2l,5.12E-30,0.295187022,0.655,0.064,1.59E-25
Pan3,5.48E-30,0.342070817,0.766,0.112,1.70E-25
Mast2,5.78E-30,0.27357749,0.672,0.075,1.79E-25
Rrbp1,6.54E-30,0.601378119,0.983,0.396,2.03E-25
Scaper,6.81E-30,0.354191453,0.94,0.267,2.12E-25
Taf3,7.34E-30,0.277096913,0.774,0.123,2.28E-25
Mga,7.76E-30,0.381970179,0.877,0.193,2.41E-25
Eml5,8.19E-30,0.26771204,0.579,0.027,2.54E-25
Mllt10,8.96E-30,0.457116876,0.915,0.251,2.78E-25
Pou2f1,9.77E-30,0.271468841,0.702,0.086,3.03E-25
Bclaf1,1.29E-29,0.451214953,0.949,0.316,4.00E-25
Brd8,1.58E-29,0.326036106,0.736,0.107,4.90E-25
Usp19,1.81E-29,0.287000161,0.77,0.118,5.63E-25
Tnrc6a,1.83E-29,0.402473945,0.966,0.31,5.69E-25
Gon4l,2.36E-29,0.350277633,0.762,0.123,7.34E-25
Smg7,2.86E-29,0.318986987,0.698,0.091,8.87E-25
Phf14,2.94E-29,0.45382387,0.906,0.246,9.13E-25
Atrn,3.03E-29,0.345934892,0.617,0.048,9.39E-25
Sf3b1,3.11E-29,0.589636338,0.966,0.342,9.66E-25
Fam193b,3.41E-29,0.356408229,0.557,0.021,1.06E-24
Rbbp6,3.53E-29,0.305282571,0.838,0.176,1.10E-24
Ankfy1,3.59E-29,0.262881915,0.591,0.037,1.12E-24
Nfat5,3.69E-29,0.289414708,0.698,0.086,1.15E-24
Ybx2,4.19E-29,0.612695528,0.804,0.176,1.30E-24
Ube3c,5.61E-29,0.363552019,0.626,0.059,1.74E-24
Nup62,6.68E-29,0.266555956,0.655,0.064,2.07E-24
Kif5b,7.00E-29,0.286411411,0.86,0.198,2.17E-24
Med1,7.24E-29,0.374452989,0.804,0.155,2.25E-24
Auts2,7.44E-29,0.343570443,0.834,0.166,2.31E-24
Ppm1a,9.06E-29,0.288053376,0.698,0.091,2.81E-24
Wwp2,9.54E-29,0.355338208,0.626,0.064,2.96E-24
Rbm26,9.92E-29,0.32557997,0.906,0.241,3.08E-24
Enah,1.01E-28,0.287937015,0.872,0.203,3.13E-24
Setd2,1.01E-28,0.254062601,0.677,0.08,3.15E-24
Ssbp3,1.37E-28,0.260861388,0.843,0.182,4.25E-24
