"","x"
"1","Ankrd12"
"2","Ankrd17"
"3","Glg1"
"4","Stx16"
"5","Larp1b"
"6","Zfp292"
"7","Ahcyl2"
"8","Gapvd1"
"9","Zfp318"
"10","Gm26917"
"11","Pbrm1"
"12","BC005561"
"13","Arglu1"
"14","Zfp609"
"15","4932438A13Rik"
"16","Hjurp"
"17","Malat1"
"18","Ttc14"
"19","Bod1l"
"20","Tanc2"
"21","AC160336.1"
"22","Strn3"
"23","Phf3"
"24","Git2"
"25","Srek1"
"26","Ash1l"
"27","Baz2a"
"28","Zbtb20"
"29","Brca2"
"30","Kmt2c"
"31","Cspp1"
"32","Zfp704"
"33","9930021J03Rik"
"34","Tet3"
"35","Mycbp2"
"36","Brwd1"
"37","Smg7"
"38","D10Wsu102e"
"39","Rasal2"
"40","Cdk12"
"41","Prpf38b"
"42","Mga"
"43","Dennd1a"
"44","E130308A19Rik"
"45","Man1a2"
"46","Phf20l1"
"47","Spag9"
"48","Dtnb"
"49","Etnk1"
"50","Rabgap1"
"51","Clock"
"52","Ralgapa1"
"53","Cabin1"
"54","Agl"
"55","Aftph"
"56","Ubn2"
"57","Chd6"
"58","Spen"
"59","Mdn1"
"60","Herc1"
"61","Sertad2"
"62","Med1"
"63","Eif4enif1"
"64","Mtf2"
"65","Rbbp6"
"66","Fam208a"
"67","Ylpm1"
"68","Uhrf2"
"69","Scaper"
"70","Rrbp1"
"71","Sec63"
"72","Ankrd11"
"73","Luzp1"
"74","Gls"
"75","Gon4l"
"76","Nktr"
"77","Nol8"
"78","Abl2"
"79","C2cd5"
"80","Mark3"
"81","Zfp644"
"82","Cep44"
"83","Acbd3"
"84","Tnrc6c"
"85","Arid1a"
"86","Celf1"
"87","Snrnp70"
"88","Ttc3"
"89","Setd5"
"90","Wdr26"
"91","Csde1"
"92","Bbx"
"93","Smad4"
"94","Rbm25"
"95","7-Mar"
"96","Arid2"
"97","Polr2a"
"98","Dlg1"
"99","Mllt10"
"100","Sf3b1"
"101","Kmt2b"
"102","Rab11fip2"
"103","Tnrc6a"
"104","Ep400"
"105","Efcab14"
"106","Thoc2"
"107","Upf3b"
"108","Cecr2"
"109","Btaf1"
"110","Auts2"
"111","Brd2"
"112","Mtdh"
"113","Rnpc3"
"114","Brd4"
"115","Ccnl1"
"116","Nbeal1"
"117","Srsf11"
"118","Wnk1"
"119","Mov10l1"
"120","Dnajc5"
"121","Rock2"
"122","Zc3h13"
"123","Ccar1"
"124","Eprs"
"125","Mpp6"
"126","Ybx2"
"127","Pkn2"
"128","Srrm1"
"129","Phf14"
"130","Hnrnpr"
"131","Luc7l2"
"132","Mat2a"
"133","Pnisr"
"134","Vps13a"
"135","Odc1"
"136","Nasp"
"137","Usp16"
"138","Hspa5"
