"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Hist1h2aa",1.19617460833073e-61,1.43584659737351,0.986,0,3.71448101124943e-57
"Ccnb3",3.17166348065554e-59,1.50381487481525,0.972,0.009,9.84896660647966e-55
"Rad51ap2",4.75009462850182e-54,1.06672777576191,0.915,0.014,1.47504688498867e-49
"Ankrd31",1.76312000014032e-53,1.32096074650369,1,0.078,5.47501653643573e-49
"Tsga10",1.56096633630616e-51,1.07115077666129,0.958,0.051,4.84726876413151e-47
"Gc",2.19362536719383e-50,0.783119067783777,0.887,0.018,6.811864852747e-46
"Hist1h2ba",1.7502460225198e-49,0.74106851386327,0.831,0.005,5.43503897373073e-45
"Hist1h4d",2.57150037778608e-49,1.04817888814073,0.972,0.092,7.98528012313912e-45
"Hist1h1e",1.73372457241866e-47,1.63041419969165,0.986,0.138,5.38373491473165e-43
"Zfp62",3.66826587965572e-47,0.604304413442832,0.817,0.009,1.13910660360949e-42
"Aspa",5.43240129021225e-47,0.676782244163436,0.845,0.023,1.68692357264961e-42
"1700029J07Rik",9.11952887852339e-47,0.810647029195137,0.958,0.088,2.83188730264787e-42
"Sycp2",1.02907750656707e-46,1.80863734942671,1,0.184,3.19559438114271e-42
"Terb1",1.35276731931823e-46,1.10655610253394,0.972,0.12,4.20074835667891e-42
"Nrip3",3.68786086983202e-46,0.613196432800715,0.803,0.009,1.14519143590894e-41
"Zhx1",5.96773969418068e-46,1.07409991358608,0.986,0.143,1.85316220723393e-41
"AY036118",4.72980304250037e-45,1.81675949358249,0.986,0.189,1.46874573878764e-40
"Zfp541",7.87748813567525e-45,0.729540038456721,0.915,0.069,2.44619639077124e-40
"mt-Nd6",9.73497764315207e-45,0.986926463433582,0.958,0.092,3.02300260752801e-40
"Ccdc122",3.67522580804853e-44,0.77467720003612,0.887,0.055,1.14126787017331e-39
"Grk4",5.06000892183586e-44,0.705943690800698,0.845,0.032,1.57128457049769e-39
"Zmym6",5.33306131003929e-44,0.881105110566005,0.915,0.088,1.6560755286065e-39
"BC051142",5.665844481503e-44,0.70993561495263,0.831,0.032,1.75941468684113e-39
"Prdm9",8.09392792132896e-44,0.916839087809196,0.93,0.101,2.51340743741028e-39
"Cep290",1.08104831043722e-43,1.67330456163052,0.986,0.221,3.35697931840068e-39
"H1f0",2.44193721215126e-43,1.06476516845242,0.915,0.101,7.58294762489331e-39
"Cdkl2",2.53492922236333e-43,0.863768617300787,0.958,0.111,7.87171571420484e-39
"Dync2h1",3.44890630508252e-43,0.76895848474849,0.915,0.078,1.07098887491727e-38
"Tex16",4.02032504129625e-43,1.09139686088065,0.93,0.124,1.24843153507372e-38
"Il18",1.39738195804506e-42,0.536957765378336,0.803,0.023,4.33929019431733e-38
"Krt10",2.78768228330639e-42,0.50565348835564,0.859,0.046,8.65658979435134e-38
"Spo11",4.36559179520221e-42,0.79792402169486,0.944,0.111,1.35564722016414e-37
"Meiob",3.73187919440937e-41,0.69201821171591,0.873,0.065,1.15886044623994e-36
"Dopey1",5.35590348024454e-41,1.00167829086076,0.958,0.175,1.66316870772034e-36
"4930592C13Rik",1.51089501009394e-40,0.446043735517659,0.69,0,4.6917822748447e-36
"Topaz1",1.6810518070324e-40,0.67683572322103,0.873,0.069,5.22017017637772e-36
"Gm14167",4.87385132596445e-40,0.493267352944264,0.817,0.041,1.51347705225174e-35
"Prps1",8.72704707762927e-40,0.514773317129195,0.789,0.032,2.71000992901622e-35
"Gls",9.07126243644611e-40,1.1602147775992,0.986,0.29,2.81689912438961e-35
"Hfm1",3.36681878198002e-39,1.3027535086723,0.986,0.295,1.04549823636826e-34
