"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Hist1h2aa",1.3520170603744e-30,-1.37698803810694,0.087,0.986,4.19841857758061e-26
"Hist1h1e",1.85377073139929e-28,-1.58640792708423,0.239,0.986,5.75651425221422e-24
"Rps27",8.34216520978506e-28,1.30397066380264,1,1,2.59049256259456e-23
"Rpl37a",8.34216520978506e-28,1.1368996477571,1,1,2.59049256259456e-23
"Rps28",8.65552907023982e-28,1.16548052044231,1,1,2.68780144218157e-23
"Rpl35",1.00300867733625e-27,1.30246347184683,1,1,3.11464284573226e-23
"Gm42418",1.55781544227035e-27,-2.22178200005211,0.957,1,4.83748429288213e-23
"AY036118",1.93781843005532e-27,-1.65347642427996,0.391,0.986,6.01750757085078e-23
"Uba52",4.03104602175667e-27,2.27531964980784,1,0.958,1.2517607211361e-22
"4930447C04Rik",9.98377444017112e-27,-1.10661670550764,1,1,3.10026147690634e-22
"Rpl27",1.38090325592929e-26,1.40339319292652,0.989,0.972,4.28811888063721e-22
"Eef1b2",4.19759347360297e-26,-0.799539368986963,0.989,1,1.30347870135793e-21
"Snrpg",6.89925157201611e-26,1.19701730113887,0.989,0.944,2.14242459065816e-21
"Rpl37",8.25195505678431e-26,0.736855168297594,1,1,2.56247960378323e-21
"Gm11808",8.82029079261331e-26,1.19998550863032,1,0.901,2.73896489983021e-21
"Ftl1",1.44419731145869e-25,1.83136644192347,1,0.887,4.48466591127266e-21
"Hist1h4d",1.83881876289206e-25,-0.941782157537002,0.217,0.972,5.71008390440871e-21
"Meioc",4.27727773415552e-25,-1.14230096882264,0.478,0.986,1.32822305478731e-20
"Brca2",4.52834384904448e-25,-1.15666778873609,0.674,0.986,1.40618661544378e-20
"Rps29",5.7083593853477e-25,0.718880846701031,1,1,1.77261683993202e-20
"Top2a",5.85220079386333e-25,-1.20514222310505,0.62,1,1.81728391251838e-20
"Malat1",6.56190440069299e-25,1.31051777813542,1,1,2.03766817354719e-20
"Rps23",8.97252491831165e-25,0.444548010186002,1,1,2.78623816288332e-20
