"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Dppa3",1.88578993019307e-32,3.2852069323681,1,0.065,5.85594347022855e-28
"Ccno",1.3342101298072e-31,1.23628214591234,0.986,0.033,4.1431227160903e-27
"Gdpd1",6.81938906000154e-30,2.15383044872574,1,0.25,2.11762488480228e-25
"Dusp12",1.97340878127166e-28,0.987530394435424,0.958,0.087,6.12802628848289e-24
"Acat1",3.93222415607853e-28,1.61679652875025,0.986,0.293,1.22107356718707e-23
"Rbakdn",5.52822335693777e-28,0.84816510407918,0.875,0,1.71667919902989e-23
"Pdzk1",5.52822335693777e-28,0.669586413300021,0.875,0,1.71667919902989e-23
"G3bp2",5.56505814485029e-28,1.60792573972709,1,0.783,1.72811750572036e-23
"Ift27",7.36450364385273e-28,1.31389620403212,0.986,0.272,2.28689931652559e-23
"Rdx",8.12707626448525e-28,1.6363431623272,1,0.87,2.5237009924106e-23
"Tmem14c",1.10437300910145e-27,1.95478870658348,1,0.652,3.42940950516274e-23
"Rps28",1.78682449346349e-27,-0.934855939329635,1,1,5.54862609955217e-23
"Uchl1",2.34456929204108e-27,1.97083593792807,1,0.75,7.28059102257516e-23
"Rnaset2b",2.45934070202867e-27,0.998123799345648,0.944,0.141,7.63699068200962e-23
"Mtus1",2.60608017687262e-27,0.58787154114313,0.875,0.011,8.09266077324256e-23
"Abi3bp",4.44325693003866e-27,0.96901751114389,0.875,0.011,1.37976457448491e-22
"Stat3",6.07536312552904e-27,1.21261728163389,0.972,0.272,1.88658251137053e-22
"Rps20",6.09723418126237e-27,-0.897337098127073,1,1,1.8933741303074e-22
"Sipa1",6.15789704463718e-27,0.585521349481976,0.889,0.022,1.91221176927118e-22
"Zbed3",7.10702329018759e-27,1.12143632837023,0.917,0.087,2.20694394230195e-22
"Gm47918",8.14425411268312e-27,0.753050320394457,0.861,0.011,2.52903522961149e-22
"Rplp1",8.72714427984861e-27,-0.717189355302273,1,1,2.71004011322139e-22
"Tuba1c",9.80072493197181e-27,1.37117120522338,0.875,0.033,3.04341911312521e-22
"Kdm1b",1.40420619392127e-26,1.06949658771609,1,0.283,4.36048149398373e-22
"Arhgap10",1.91656249071521e-26,0.827578107333382,0.931,0.098,5.95150150241793e-22
"Ldhb",2.10082993583856e-26,2.27987758397862,0.986,0.337,6.52370719975949e-22
"Anxa7",2.69304580095017e-26,1.20458276440913,1,0.478,8.36271512569057e-22
"Rplp2",3.49733498273404e-26,-0.685083536297775,1,1,1.0860274321884e-21
"Uba52",4.17356838711288e-26,-1.79891960003585,0.986,1,1.29601819125016e-21
"D10Wsu102e",4.41109818675099e-26,1.62411125469368,0.986,0.707,1.36977831993179e-21
"Marveld2",4.42455534335266e-26,0.596274681733322,0.875,0.022,1.3739571707713e-21
"Cd55",4.62359115158249e-26,0.816703830754759,0.986,0.13,1.43576376030091e-21
"Rps29",5.15793520558245e-26,-0.828557422945405,1,1,1.60169361938952e-21
"Rpl39",5.15793520558245e-26,-1.01866200648564,1,1,1.60169361938952e-21
"Tmsb10",5.72882113193013e-26,1.73466229919585,1,0.957,1.77897082609826e-21
"Rps5",6.83652809646435e-26,-0.759359148253039,1,1,2.12294706979507e-21
"Rpl37a",7.59700646254636e-26,-0.62115082398525,1,1,2.35909841681452e-21
"Tcl1",7.85749902957698e-26,1.04121639457407,0.931,0.12,2.43998917365454e-21
"Syce3",1.24111725297085e-25,-0.967591388546474,0.972,1,3.85404140565039e-21
"Rps21",1.28540145490132e-25,-0.797339248154401,1,1,3.99155713790506e-21
"Rpl18a",1.28540145490132e-25,-0.846095666093465,1,1,3.99155713790506e-21
"Ptpn18",1.6610695066426e-25,0.994437342263157,0.917,0.098,5.15811913897726e-21
"Bpgm",1.73799036443037e-25,0.939799397672426,0.944,0.174,5.39698147866563e-21
"Arpc5l",2.08094261940378e-25,1.18738895007472,1,0.837,6.46195111603456e-21
"Rpl35a",2.3259597518597e-25,-0.596067599711299,1,1,7.22280281744992e-21
"Rps12",2.40829921666188e-25,-0.668665054066444,1,1,7.47849155750015e-21
"Parl",2.6222164360693e-25,1.07777956730504,1,0.728,8.142768698926e-21
"Hmgb1",2.76714441951773e-25,1.01675251151815,1,0.978,8.5928135659284e-21
"Prc1",3.03449563437012e-25,0.989266622670952,0.972,0.217,9.42301929340953e-21
"Rps24",3.52849283844219e-25,-0.588994627719293,0.986,1,1.09570288112145e-20
"Vkorc1",5.62580291712263e-25,1.33978297446387,0.986,0.739,1.74698057985409e-20
"Nexn",5.83346762555023e-25,1.06210536252078,0.986,0.217,1.81146670176211e-20
"Pdzd2",6.1100062565395e-25,0.616241638110684,0.833,0.022,1.89734024284321e-20
"Tdrd1",7.31089599179166e-25,0.936494870709788,1,0.38,2.27025253233106e-20
"Higd1a",7.94217855824055e-25,1.10496124929681,1,0.674,2.46628470769044e-20
"Rps26",8.08205225423547e-25,-0.846500859553281,1,1,2.50971968650774e-20
"4930447C04Rik",8.65123436339365e-25,-1.26255074183945,0.944,1,2.68646780686463e-20
"Rps15a",1.10101830779848e-24,-0.678353527920604,1,1,3.41899215120662e-20
"Ppfibp2",1.40204695152055e-24,0.811337288035498,0.958,0.141,4.35377639855677e-20
"Pramef12",1.40204695152055e-24,0.744669938858363,0.958,0.141,4.35377639855677e-20
"Rpl13a",1.47307608228177e-24,-1.03660795831572,0.986,0.989,4.57434315830959e-20
