"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Gm42418",2.83613408924898e-25,3.09804953859266,0.864,0.388,8.80704718734486e-21
"Sycp1",2.28906198135503e-23,1.83418639135521,0.901,0.507,7.10822417070176e-19
"Hspe1",8.77893825669137e-23,-1.47076754152394,0.395,0.901,2.72612369685037e-18
"Actb",2.26773170500104e-22,-1.75853026130133,0.432,0.961,7.04198726353972e-18
"Rhox5",4.5516797072985e-22,-1.85836341280154,0.037,0.743,1.4134330995074e-17
"Dppa5a",6.83358613852771e-22,-2.27140739714,0.062,0.737,2.12203350359701e-17
"Tubb5",1.51154051351172e-21,-1.52247058861829,0.272,0.882,4.69378675660795e-17
"Rps2",2.25420312148241e-21,-1.01502574044785,0.765,0.987,6.99997695313932e-17
"AY036118",2.80533909473091e-21,2.49642469138816,0.605,0.066,8.7114194908679e-17
"Mif",4.34441996290298e-21,-1.68130945848405,0.247,0.836,1.34907273108026e-16
"Smc1b",4.03841822328789e-20,1.18071495971354,0.926,0.816,1.25405001087759e-15
"Rps8",5.621442939342e-20,-0.734202548925507,0.938,1,1.74562667595387e-15
"Dppa3",1.21601866195725e-19,-2.00118172997749,0.025,0.671,3.77610275097586e-15
"4930447C04Rik",4.13453986481033e-19,1.8840129547971,0.802,0.382,1.28389866421955e-14
"Rps20",1.30367767091297e-18,0.81081805645871,1,0.98,4.04831027148605e-14
"Tex15",1.52706617801878e-18,1.95224076660212,0.753,0.27,4.74199860260172e-14
"Snrpb",1.60359902016137e-18,-1.33862108403428,0.222,0.829,4.97965603730711e-14
"Ifitm1",1.7785837626878e-18,-1.34001530484038,0.111,0.757,5.52303615827444e-14
"Rhox9",2.80371051307075e-18,-1.66680099164477,0.086,0.704,8.70636225623861e-14
"mt-Nd2",3.24633608796362e-18,1.74821038226886,0.84,0.533,1.00808474539534e-13
"Sycp3",5.33423201295114e-18,1.72535154581648,0.815,0.487,1.65643906698172e-13
"Phlda2",6.81820320464075e-18,-1.95539362216193,0,0.605,2.11725664113709e-13
"Rpl6",8.10091583092166e-18,-0.72946097465932,0.827,1,2.5155773929761e-13
"Rpl27",6.84927587436295e-17,-1.03483410031339,0.457,0.908,2.12690563726593e-12
"Ppia",1.25925656803634e-16,-0.678754435934833,0.852,1,3.91036942072325e-12
"Tuba1b",1.51848564747926e-16,-1.53259988512741,0.074,0.684,4.71535348111735e-12
"Marcksl1",2.73694192068468e-16,-1.32509629946167,0.025,0.618,8.49902574630213e-12
"Gpx4",3.05608396646496e-16,-1.39737688932146,0.111,0.691,9.49005754106363e-12
"Rps3a1",7.64910338310335e-16,-0.617720283500748,0.901,0.993,2.37527607355508e-11
"Tpt1",1.14793499952727e-15,0.917884750912081,0.938,0.862,3.56468255403203e-11
"Lgals1",1.38583003740022e-15,-1.2551058674164,0.185,0.776,4.30341801513892e-11
"Sycp2",1.93038044681822e-15,1.58524719435138,0.432,0.026,5.99441040150461e-11
"Rps3",2.39104374684118e-15,-0.596954107554389,0.889,0.98,7.42490814706592e-11
"mt-Atp6",2.68767399313919e-15,1.09724655261621,0.988,0.809,8.34603405089513e-11
"Atp5g1",3.20529904966177e-15,-1.23789176695417,0.309,0.796,9.95341513891469e-11
"Selenoh",3.75735576323567e-15,-1.24413556156016,0.148,0.704,1.16677168515757e-10
"Rpl41",7.73015218541738e-15,-0.785466747252462,0.827,0.987,2.40044415813766e-10
"Pfn1",1.61942284960217e-14,-1.22249680786626,0.099,0.638,5.02879377486962e-10
"Ifitm2",2.2250395663543e-14,-1.24120025099411,0.136,0.697,6.90941536540001e-10
"mt-Co2",3.67789850110506e-14,1.37321711489476,0.877,0.658,1.14209782154815e-09
"Ybx1",5.51435891646252e-14,-1.15232334069778,0.173,0.73,1.71237387432911e-09
"Dut",5.97900301938619e-14,-1.03356267437906,0.173,0.711,1.85665980760999e-09
"Slc25a5",8.79377029376452e-14,-1.32387278244774,0.025,0.533,2.7307294893227e-09
"Rpl37",1.26695057255935e-13,-0.555929389342678,0.914,0.993,3.93426161296856e-09
"Pou5f1",1.43544221325541e-13,-1.29548430608158,0.012,0.5,4.45747870482202e-09
"Cox8a",1.57086635253629e-13,-1.4997774574016,0.086,0.605,4.87801128453094e-09
"Tmsb10",3.87446000557757e-13,-1.18387907562353,0.259,0.757,1.203136065532e-08
"Hmgn1",4.99270537916045e-13,-1.1688369426991,0.235,0.717,1.55038480139069e-08
"Rpl24",1.16272132037504e-12,-0.632184427601796,0.741,0.974,3.61059851616062e-08
"Ndufb2",1.59152544144787e-12,-1.1089220976309,0.173,0.658,4.94216395332806e-08
"Ran",1.82237042286248e-12,-0.940931194369458,0.444,0.836,5.65900687411485e-08
"Fdps",1.96648319211696e-12,-1.09219887826728,0.037,0.513,6.1065202564808e-08
"Ranbp1",2.22418173148021e-12,-0.956513090681511,0.284,0.783,6.90675153076548e-08
"Atp5b",2.48307729164017e-12,-0.891124350784222,0.494,0.882,7.71069991373021e-08
"Rps24",3.36745049483736e-12,0.499847475848556,0.988,0.993,1.04569440216185e-07
"Myl12a",7.29031448062892e-12,-0.936291786953924,0.148,0.651,2.2638613556697e-07
"H2afv",1.13798919659445e-11,-1.00604130502873,0.185,0.651,3.53379785218474e-07
"Psmb5",1.17468210280338e-11,-0.955085278583278,0.148,0.638,3.64774033383533e-07
"Cox6b1",1.26419777791514e-11,-0.887993660705797,0.321,0.796,3.92571335975989e-07
"Rpl36",1.2705726509477e-11,-0.579066742369967,0.852,0.967,3.9455092529879e-07
"Rhox6",1.37393274909195e-11,-1.33522628048031,0.123,0.572,4.26647336575523e-07
"Hsp90aa1",1.37495129076284e-11,-0.486120032386434,0.926,0.993,4.26963624320585e-07
"Cct7",1.42578931047221e-11,-0.939033176114614,0.309,0.816,4.42750354580935e-07
"Chchd10",1.69997551709856e-11,-1.16761945413717,0.062,0.513,5.27893397324617e-07
"Ptov1",1.77527497546281e-11,-1.17413102425896,0.062,0.507,5.51276138130468e-07
"Atp5f1",2.03040290066891e-11,0.762130185150848,0.852,0.743,6.30501012744715e-07
"Nudc",2.03912588665857e-11,-1.06167559223696,0.198,0.658,6.33209761584087e-07
"Tmem256",2.10240937312118e-11,-1.07201193131751,0.062,0.513,6.52861182635322e-07
"Rps15",2.12937017415436e-11,-0.503578462454365,0.864,0.98,6.61233320180154e-07
"Utf1",2.18738098599805e-11,-1.1145986827671,0.025,0.461,6.79247417581975e-07
"Syce3",2.3083648579619e-11,1.41132207645167,0.568,0.23,7.1681653934291e-07
"Rps27",2.96033102858357e-11,-0.482732233165407,0.877,0.993,9.19271594306057e-07
"Ccnb3",3.74732945647129e-11,1.3957392230446,0.284,0.007,1.16365821611803e-06
"Edf1",3.92101822293916e-11,-0.964025664838965,0.123,0.579,1.2175937887693e-06
"Hbb-y",5.53029159895716e-11,-1.55670362159397,0.037,0.461,1.71732145022417e-06
"mt-Nd6",5.76828178776199e-11,1.43237624709068,0.383,0.059,1.79122454355373e-06
