"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Uba52",3.18841578432579e-24,1.98448165153588,1,0.346,9.90098753506687e-20
"Rps28",3.43875998508989e-19,0.988054633336509,1,0.963,1.06783813816996e-14
"Gm42418",8.82324348646647e-19,-3.85557998174229,0.361,0.864,2.73988179985243e-14
"Rpl37a",1.82486353419959e-18,0.868242290878753,1,0.914,5.66674873275e-14
"Erh",3.00334870490677e-18,1.26327218818933,0.75,0.049,9.32629873334698e-14
"Rps27",4.76958028015046e-18,0.968127790892185,1,0.877,1.48109776439512e-13
"Rpl35",9.45020550776839e-18,0.925901148576432,1,0.778,2.93457231632732e-13
"Gm11808",1.57290209008618e-16,1.26068507975446,0.889,0.222,4.88433286034463e-12
"Atp5k",1.63734283867334e-16,1.26854749261813,0.917,0.259,5.08444071693233e-12
"Rps29",1.05980464521165e-15,0.657157585925432,1,0.975,3.29101136477573e-11
"Gm27164",1.13479422065922e-15,1.38589475900236,0.764,0.099,3.52387649341307e-11
"Ndufa5",4.55013336664504e-15,1.06715706791573,0.931,0.235,1.41295291434428e-10
"Rhox1",5.81934146912391e-15,1.21994149403668,0.667,0.062,1.80708010640705e-10
"Sap18",4.43702500464523e-14,1.09069108768921,0.75,0.123,1.37782937469248e-09
"Mael",1.10903463886954e-13,1.19747155757411,0.875,0.259,3.4438852640816e-09
"Rps23",1.94364216571605e-13,0.52020669609399,1,1,6.03559201719804e-09
"Rpl27",2.24610848957077e-13,0.970402803479874,0.944,0.457,6.97484069266412e-09
"Lsm5",2.49505297556142e-13,0.947333305481604,0.861,0.222,7.74788800501089e-09
"AY036118",3.96605040492626e-13,-2.44039543209993,0.056,0.605,1.23157763224175e-08
"Usmg5",5.65313334911807e-13,0.968144681258478,0.861,0.272,1.75546749890164e-08
"Ubb",6.30342582842546e-13,0.766781742616487,1,0.741,1.95740282250096e-08
"Tmsb10",1.52859606507826e-12,1.13143693329289,0.847,0.259,4.74674936088751e-08
"Morn5",1.59484281101567e-12,0.782036612866644,0.542,0.025,4.95246538104695e-08
"Rps25",2.19115605270186e-12,0.653701042616852,0.986,0.753,6.8041968904551e-08
"Rpl31",4.10466750917632e-12,0.623609758212686,0.986,0.877,1.27462240162452e-07
"Cst3",4.36657334839677e-12,0.751085581241627,0.875,0.259,1.35595202187765e-07
"Marcksl1",5.85557986927894e-12,0.892541517014689,0.542,0.025,1.81833321680719e-07
"Id1",7.70162468882699e-12,1.09813596315363,0.903,0.321,2.39158551462145e-07
"Cks2",9.45604294531694e-12,1.05936642137195,0.833,0.259,2.93638501580927e-07
"Malat1",1.11937710742939e-11,-1.17190858276414,0.778,0.914,3.47600173170047e-07
"Slirp",1.20598587710469e-11,0.924542271670421,0.764,0.198,3.74494794417319e-07
"Rpl23a",2.35875268842438e-11,0.528907813583199,1,0.963,7.32463472336423e-07
