"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ldhb",7.18143237564618e-16,2.18312579463225,0.882,0.125,2.23005019560941e-11
"Dppa3",1.04458947466473e-14,2.07391293390152,0.971,0.319,3.2437636956764e-10
"Rps29",4.99689184812388e-13,-0.852782973297235,1,1,1.55168482559791e-08
"Gdpd1",7.99807067899316e-13,1.53867258469531,0.882,0.236,2.48364088794775e-08
"Rpl21",9.05468782599808e-13,-0.609023289768657,0.971,1,2.81175221060718e-08
"Rpl39",9.74743875730402e-13,-1.12840071954748,0.971,0.986,3.02687215730562e-08
"Rps28",9.99145490953077e-13,-0.861484445865123,1,1,3.10264649305659e-08
"Rps20",2.18200982674365e-12,-0.817956765391355,1,1,6.77579511498705e-08
"Rpl18a",2.64778183063623e-12,-0.791370860825391,0.971,1,8.22215691867468e-08
"Tmem14c",4.28415065395027e-12,1.48177561809823,0.941,0.514,1.33035730257118e-07
"Uba52",5.96276383302306e-12,-1.18800456976052,0.853,1,1.85161705306865e-07
"Rps21",8.32571589276841e-12,-0.692113616461058,1,1,2.58538455618137e-07
"Sipa1",1.09845427376932e-11,1.00874388093282,0.588,0.014,3.41103005633588e-07
"Cox7c",1.68174128938685e-11,-0.638712876615501,0.971,1,5.22231122593298e-07
"Acat1",2.70685791022953e-11,1.42573478610868,0.824,0.236,8.40560586863576e-07
"Ift27",5.16943100086467e-11,1.3899507448672,0.853,0.25,1.60526340869851e-06
"Syce3",5.62959775459767e-11,-1.10945442562892,0.706,0.972,1.74815899073521e-06
"Rpl23",6.65526998550246e-11,-0.509754081656623,0.971,1,2.06666098859808e-06
"Rpl23a",7.97066363910214e-11,-0.534816348821562,1,1,2.47513017985039e-06
"Rplp1",1.24724820053109e-10,-0.712314185707397,1,1,3.87307983710921e-06
"Tmsb10",1.7647121242682e-10,1.30530269208142,0.971,0.847,5.47996055949003e-06
"Rpl26",1.94296019159012e-10,-0.542813317951473,0.971,1,6.03347428294481e-06
"Rps27a",2.21736702905917e-10,-0.456379368633494,1,1,6.88558983533745e-06
"Rps26",3.58681712742933e-10,-0.845952172089479,0.971,1,1.11381432258063e-05
"Uchl1",4.6034886625601e-10,1.13111161802572,0.971,0.569,1.42952133438479e-05
"Anxa7",4.97537787216991e-10,1.11305426845035,0.853,0.278,1.54500409064492e-05
"Hmgb3",5.49985841392699e-10,1.33568305047466,0.765,0.222,1.70787103327675e-05
"Rpl22l1",6.56294449905828e-10,-0.832169907961113,0.941,1,2.03799115529257e-05
"Mtmr14",7.56625865020751e-10,1.07684545108169,0.765,0.167,2.34955029864894e-05
"Rps23",7.62274868654313e-10,-0.487009565268464,0.971,1,2.36709214963224e-05
"Parl",7.9212786037018e-10,1.25335277363588,0.824,0.306,2.45979464480752e-05
